"fecha","rho7dpromedio","incidenciaAcum14d","riesgopor10"
2020-09-21,0.826401040700717,434.914363958787,359.413682991232
2020-09-22,0.841230186748348,420.043098610519,353.352934286482
2020-09-23,0.839993434572126,404.049473613325,339.398905077516
2020-09-24,0.846483177804842,386.652899054973,327.295174699509
2020-09-25,0.837045252928096,368.97573458439,308.849387079521
2020-09-26,0.848215268640721,357.4715481829,303.212825273373
2020-09-27,0.853458901372404,335.866124941076,286.647934000417
2020-09-28,0.875295045129856,321.556039417271,281.456408033518
2020-09-29,0.890587290607643,311.735392489169,277.627578583439
2020-09-30,0.912197849782804,304.159464858919,277.453609835395
2020-10-01,0.912640745387648,298.267076702058,272.210687205961
2020-10-02,0.899359785139494,289.00760959842,259.921821672114
2020-10-03,0.859266764621994,284.237581090485,244.235906687602
2020-10-04,0.797502038180456,271.049855215605,216.162811982963
2020-10-05,0.720053459079326,264.876877146513,190.725511619476
2020-10-06,0.623611745736204,252.811510920559,157.656227667377
2020-10-07,0.518078999780901,240.184964870143,124.434786362335
2020-10-08,0.400945678005589,226.716649083032,90.9010605817515
2020-10-09,0.318673495085179,212.125973646995,67.5989254204347
2020-10-10,0.255843715280535,191.642910054098,49.0306341154138
2020-10-11,0.215912981896852,176.77164470583,38.1672929232465
2020-10-12,0.182125269924256,155.166221464006,28.259689967259
2020-01-02,0,0,0
2020-01-03,0,0,0
2020-01-04,0,0,0
2020-01-05,0,0,0
2020-01-06,0,0,0
2020-01-07,0,0,0
2020-01-08,0,0,0
2020-01-09,0,0,0
2020-01-10,0,0,0
2020-01-11,0,0,0
2020-01-12,0,0,0
2020-01-13,0,0,0
2020-01-14,0,0,0
2020-01-15,0,0,0
2020-01-16,0,0,0
2020-01-17,0,0,0
2020-01-18,0,0,0
2020-01-19,0,0,0
2020-01-20,0,0,0
2020-01-21,0,0,0
2020-01-22,0,0,0
2020-01-23,0,0,0
2020-01-24,0,0,0
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,0,0,0
2020-01-28,0,0,0
2020-01-29,0,0,0
2020-01-30,0,0,0
2020-01-31,0,0,0
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0.142857142857143,0,0
2020-02-26,0.285714285714286,0,0
2020-02-27,0.428571428571429,0,0
2020-02-28,0.428571428571429,0,0
2020-02-29,0.428571428571429,0.322481820087393,0.138206494323168
2020-03-01,0.428571428571429,0.322481820087393,0.138206494323168
2020-03-02,0.428571428571429,0.322481820087393,0.138206494323168
2020-03-03,0.285714285714286,0.322481820087393,0.0921376628821122
2020-03-04,0.142857142857143,0.322481820087393,0.0460688314410561
2020-03-05,0,0.322481820087393,0
2020-03-06,0,0.322481820087393,0
2020-03-07,0,0.322481820087393,0
2020-03-08,0.142857142857143,0.322481820087393,0.0460688314410561
2020-03-09,0.285714285714286,0.322481820087393,0.0921376628821122
2020-03-10,0.571428571428571,0.322481820087393,0.184275325764224
2020-03-11,0.714285714285714,0.322481820087393,0.23034415720528
2020-03-12,1,0.644963640174785,0.644963640174785
2020-03-13,1.14285714285714,0.644963640174785,0.737101303056897
2020-03-14,1.57142857142857,0.644963640174785,1.01351429170323
2020-03-15,1.57142857142857,0.644963640174785,1.01351429170323
2020-03-16,1.71428571428571,0.967445460262178,1.65847793187802
2020-03-17,1.57142857142857,0.967445460262178,1.52027143755485
2020-03-18,1.85714285714286,1.61240910043696,2.99447404366865
2020-03-19,1.71428571428571,1.61240910043696,2.76412988646336
2020-03-20,1.64285714285714,1.61240910043696,2.64895780786072
2020-03-21,1.21428571428571,2.25737274061175,2.74109547074284
2020-03-22,1.14285714285714,2.57985456069914,2.94840521222759
2020-03-23,0.904761904761905,2.57985456069914,2.33415412634684
2020-03-24,0.80952380952381,2.57985456069914,2.08845369199454
2020-03-25,0.523809523809524,2.57985456069914,1.35135238893765
2020-03-26,0.523809523809524,2.57985456069914,1.35135238893765
2020-03-27,0.738095238095238,2.57985456069914,1.90417836623032
2020-03-28,1.02380952380952,2.25737274061175,2.31111971062631
